KOD_DIAGNOZY,NAZOV_DIAGNOZY,DOPLNUJUCE_INFO
C30.0    ,Zhubný nádor nosovej dutiny,"Zhubný nádor nosovej mušle 
Zhubný nádor vnútra nosa 
Zhubný nádor nosovej chrupky 
Zhubný nádor nosovej priehradky 
Zhubný nádor predsiene nosa 
Nepatrí sem:  
Zhubný nádor bulbus olfactorius (C72.2) 
Zhubný nádor kože nosa (C43.3, C44.3) 
Zhubný nádor zadného okraja nosového septa a choán (C11.3) 
Zhubný nádor bližšie neurčenej časti nosa (C76.0) 
Zhubný nádor nosovej kosti (C41.02)"
C30.1    ,Zhubný nádor stredného ucha,"Zhubný nádor dutín hlávkového výbežku 
Zhubný nádor vnútorného ucha 
Zhubný nádor sluchovej  [Eustachovej] trubice  
Nepatrí sem:  
Zhubný nádor zvukovodu (vonkajšieho) (C43.2, C44.2) 
Zhubný nádor kože (vonkajšieho) ucha (C43.2, C44.2) 
Zhubný nádor kostného zvukovodu (meatus acusticus) (C41.01) 
Zhubný nádor ušnej chrupky (C49.0)"
C31.-    ,Zhubný nádor prinosových dutín,
C31.0    ,Zhubný nádor čeľustnej dutiny,Zhubný nádor antrum maxillare [Highmori]
C22.4    ,Iný sarkóm pečene,
C22.7    ,"Iný karcinóm pečene, bližšie určený",
C31.1    ,Zhubný nádor čuchovej dutiny,
C31.2    ,Zhubný nádor čelovej dutiny,
C31.3    ,Zhubný nádor dutiny klinovej kosti,
C31.8    ,Zhubný nádor prinosovej dutiny presahujúci viaceré oblasti,[Pozri poznámku 5 na začiatku tejto kapitoly]
C31.9    ,Zhubný nádor bližšie neurčenej prinosovej dutiny,
C32.-    ,Zhubný nádor hrtana,
C32.0    ,Zhubný nádor glottis,"Zhubný nádor bližšie neurčeného hlasivkového väzu 
Zhubný nádor komory hrtana"
C41.1    ,Zhubný nádor kosti a kĺbovej chrupky dolnej čeľuste,"Zhubný nádor mandibuly 
Nepatrí sem:  
Karcinóm rozličného typu, iného pôvodu než kostného alebo odontogénneho:  
• ďasna dolnej čeľuste (sánky) (C03.1) 
• ďasna bez bližšieho určenia (C03.9) 
Zhubný nádor hornej čeľuste (C41.02)"
C41.2    ,Zhubný nádor kosti a kĺbovej chrupky chrbtice,"Nepatrí sem:  
Zhubný nádor kosti a kĺbovej chrupky krížovej kosti a kostrče (C41.4)"
C41.30   ,Zhubný nádor kosti a kĺbovej chrupky rebra,
C41.31   ,Zhubný nádor kosti a kĺbovej chrupky hrudnej kosti,
C41.32   ,Zhubný nádor kosti a kĺbovej chrupky kľúčnej kosti,
C41.4    ,Zhubný nádor kosti a kĺbovej chrupky panvovej kosti,"Zhubný nádor krížovej kosti 
Zhubný nádor kostrče"
C41.8    ,Zhubný nádor kosti a kĺbovej chrupky presahujúci viaceré oblasti,"[Pozri poznámku 5 na začiatku tejto kapitoly] 
Zhubný nádor kosti a kĺbovej chrupky, ktorého miesto vzniku nemožno zatriediť do žiadnej z položiek C40 – C41.4"
C41.9    ,"Zhubný nádor kosti a kĺbovej chrupky, bližšie neurčený",
C43-C44  ,Melanóm a iné zhubné nádory kože,
C43.-    ,Malígny melanóm kože,"Patria sem:  
Morfologické kódy M872 – M879 so stupňom malignity /3 
Nepatrí sem:  
Malígny melanóm kože pohlavných orgánov (C51 – C52, C60.-, C63.-)"
C43.0    ,Malígny melanóm pery,"Nepatrí sem:  
Zhubný nádor okraja červene pery (C00.0 – C00.2)"
C43.1    ,Malígny melanóm mihalnice vrátane očného kútika,
C43.2    ,Malígny melanóm ucha a vonkajšieho zvukovodu,
C43.3    ,Malígny melanóm inej a bližšie neurčenej časti tváre,
C43.4    ,Malígny melanóm vlasatej časti hlavy a krku,
C43.5    ,Malígny melanóm trupu,"Malígny melanóm anusu:  
• kože anusu 
• okraja anusu 
Malígny melanóm kože prsníka 
Malígny melanóm perianálnej kože 
Nepatrí sem:  
Malígny nádor anusu bez bližšieho určenia (C21.0)"
C43.6    ,Malígny melanóm hornej končatiny vrátane pleca,
C43.7    ,Malígny melanóm dolnej končatiny vrátane bedra,
C43.8    ,Malígny melanóm presahujúci viaceré oblasti,[Pozri poznámku 5 na začiatku tejto kapitoly]
C43.9    ,"Malígny melanóm kože, bližšie neurčený",Bližšie neurčený malígny melanóm
C44.-    ,Iný zhubný nádor kože,"Patrí sem:  
Zhubný nádor:  
• potných žliaz 
• mazových žliaz 
Nepatrí sem:  
Malígny melanóm kože (C43.-) 
Zhubný nádor kože pohlavných orgánov (C51 – C52, C60.-, C63.-) 
Kaposiho sarkóm (C46.-)"
C44.0    ,Iný zhubný nádor kože pery,"Bazocelulárny karcinóm pery 
Zhubný nádor ochlpenej časti kože medzi okrajom červene hornej pery a nosom 
Zhubný nádor ochlpenej časti kože medzi okrajom červene dolnej pery a sulcus mentolabialis 
Nepatrí sem:  
Zhubný nádor pery a červene pier (C00.-)"
C44.1    ,Iný zhubný nádor kože mihalnice vrátane očného kútika,"Nepatrí sem:  
Zhubný nádor spojivového tkaniva mihalnice  (C49.0)"
C44.2    ,Iný zhubný nádor kože ucha a vonkajšieho zvukovodu,"Nepatrí sem:  
Zhubný nádor spojivového tkaniva ucha (C49.0)"
C44.3    ,Iný zhubný nádor kože iných a bližšie neurčených častí tváre,
C44.4    ,Iný zhubný nádor kože vlasatej časti hlavy a krku,
C44.5    ,Iný zhubný nádor kože trupu,"Iný zhubný nádor anusu:  
• kože anusu 
• okolia anusu 
Iný zhubný nádor kože prsníka 
Iný zhubný nádor perianálnej kože 
Nepatrí sem:  
Zhubný nádor anusu bez bližšieho určenia (C21.0)"
C44.6    ,Zhubný nádor kože hornej končatiny vrátane pleca,
C44.7    ,Zhubný nádor kože dolnej končatiny vrátane bedra,
C44.8    ,Zhubný nádor kože presahujúci viaceré oblasti,[Pozri poznámku 5 na začiatku tejto kapitoly]
C44.9    ,"Zhubný nádor kože, bližšie neurčený",
C45-C49  ,Zhubné nádory mezotelu a mäkkého tkaniva,
C45.-    ,Mezotelióm,"Patrí sem:  
Morfologický kód M905 so stupňom malignity /3"
C45.0    ,Mezotelióm pohrudnice,"Nepatria sem:  
Iné zhubné nádory pohrudnice (C38.4)"
C45.1    ,Mezotelióm pobrušnice,"Mezotelióm mezentéria 
Mezotelióm mezokolona 
Mezotelióm omenta 
Mezotelióm peritonea (parietálneho) (viscerálneho) 
Nepatria sem:  
Iné zhubné nádory pobrušnice (C48.-)"
C45.2    ,Mezotelióm osrdcovníka,"Mezotelióm osrdcovníka 
Nepatria sem:  
Iné zhubné nádory osrdcovníka (C38.0)"
C45.7    ,Mezotelióm na inom mieste,
B26.8    ,Parotitída s inými komplikáciami,"Parotitická:  
• artritída† (M01.5-*) 
• myokarditída† (I41.0*) 
• nefritída† (N08.0*) 
• polyneuropatia† (G63.0*)"
B26.9    ,Parotitída bez komplikácií,"Parotitída, bližšie neurčená 
Mumps, bližšie neurčený"
B27.-    ,Infekčná mononukleóza,"Patrí sem:  
Infekčná mononukleóza 
Monocytová angína 
Pfeifferova choroba žliaz"
B27.0    ,Mononukleóza zapríčinená gamma - Herpes vírusom,Mononukleóza zapríčinená Epsteinov-Barrovej vírusom
B27.1    ,Cytomegalovírusová mononukleóza,
B27.8    ,Iná infekčná mononukleóza,
B27.9    ,"Infekčná mononukleóza, bližšie neurčená",
B30.-    ,Vírusový zápal spojoviek,"Nepatria sem:  
Choroby oka:  
• zapríčinené herpetickým vírusom [herpes simplex] (B00.5)  
• pri herpes zoster (B02.3)"
B30.0† ,Keratokonjunktivitída zapríčinená adenovírusom (H19.2*),Epidemická keratokonjunktivitída
B30.1† ,Konjunktivitída zapríčinená adenovírusom (H13.1*),"Akútna folikulová konjunktivitída zapríčinená adenovírusom 
Bazénová konjunktivitída"
B30.2    ,Vírusová faryngokonjunktivitída (vírusová),
B30.3† ,Akútna epidemická hemoragická konjunktivitída (enterovírusová) (H13.1*),"Hemoragická konjunktivitída (akútna) (epidemická) 
Konjunktivitída zapríčinená:  
• vírusom Coxackie A 24 
• enterovírusom 70"
B30.8† ,Iná vírusová konjunktivitída (H13.1*),Keratokonjunktivitída Newcastle
B30.9    ,"Vírusová konjunktivitída, bližšie neurčená",
B33.-    ,"Iná vírusová choroba, nezatriedená inde",
B33.0    ,Epidemická pleurodýnia,"Bornholmská choroba 
Epidemická myalgia"
B33.1    ,Choroba Ross River,"Epidemická polyartritída a exantém 
Horúčka Ross River"
B33.2    ,Vírusová karditída,
B33.3    ,"Retrovírusová infekcia, nezatriedená inde","Infekcia zapríčinená retrovírusom, bližšie neurčená"
B33.4† ,Hantavírusový pulmonálny (kardiopulmonálny) syndróm (J17.1*),"Hantavírusový (kardio)pulmonálny syndróm (HCPS) 
Hantavírusová choroba s pľúcnymi prejavmi 
Vírusová choroba Sin nombre 
Nepatrí sem:  
Hemoragická horúčka s obličkovými prejavmi (A98.5†, N08.8*) 
Na zatriedenie obličkového zlyhania pri hantavírusovom (srdcovo-)pľúcnom syndróme, ktorého vyvolávateľom je hantavírus Ánd, Bayou alebo Black Creek Canal, použite prídavný kód (N17.9-)."
B33.8    ,"Iná vírusová choroba, bližšie určená",
B34.-    ,Vírusová infekcia bez bližšieho určenia miesta,"Nepatrí sem:  
Infekcia zapríčinená herpetickým vírusom [herpes simplex], bližšie neurčená (B00.9)  
Infekcia zapríčinená retrovírusmi, bližšie neurčená (B33.3) 
Vírusy ako príčina chorôb, ktoré sú zatriedené inde (B97) 
Cytomegalovírusová choroba, bližšie neurčená (B25.9)"
B34.0    ,Adenovírusová infekcia bez bližšieho určenia miesta,
B34.1    ,Enterovírusová infekcia bez bližšieho určenia miesta,"Infekcia zapríčinená  vírusmi Coxackie, bližšie neurčená 
Infekcia zapríčinená vírusmi ECHO, bližšie neurčená"
B34.2    ,Koronavírusová infekcia bez bližšieho určenia miesta,"Nepatrí sem:  
Ťažký akútny respiračný syndróm (SARS) (U04.9)"
B34.3    ,Parvovírusová infekcia bez bližšieho určenia miesta,
B34.4    ,Papovavírusová infekcia bez bližšieho určenia miesta,
B34.8    ,Iná vírusová infekcia bez bližšieho určenia miesta,
B34.9    ,"Bližšie neurčená vírusová infekcia, bez bližšieho určenia miesta",
B35-B49  ,Mykózy,"Nepatrí sem:  
Alergická alveolitída zapríčinená organickým prachom (J67.-) 
Mycosis fungoides (C84.0)"
B35.-    ,Dermatofytóza [Tinea],"Patrí sem:  
Favus 
Infekcie zapríčinené epidermophyton, microsporum a trichophyton; tinea každého typu, s výnimkou typov pod B36.-"
B35.0    ,Tinea barbae a tinea capitis,"Mykóza brady 
Kerion 
Mykóza hlavy 
Mykotická sykóza"
B35.1    ,Tinea unguium,"Dermatofytóza nechtov 
Mykóza nechtov 
Onychia zapríčinená dermatofytmi 
Onychomykóza"
B35.2    ,Tinea manuum,"Dermatofytóza ruky 
Mykóza ruky"
B35.3    ,Tinea pedis,"Dermatofytóza nohy 
Plieseň nohy 
Mykóza nohy"
B35.4    ,Tinea corporis,Dermatofytóza tela
B35.5    ,Tinea imbricata,Tokelau
L56.0,Fototoxická lieková reakcia,Na uvedenie liečiva treba použiť prídavný kód (XX. kapitola).
B35.9    ,"Dermatofytóza, bližšie neurčená","Tinea, bližšie neurčená"
B36.-    ,Iná povrchová mykóza,
B36.0    ,Pityriasis versicolor,"Tinea:  
• flava 
• versicolor"
B36.1    ,Tinea nigra,"Keratomycosis nigricans palmaris 
Microsporosis nigra 
Pityriasis nigra"
B36.2    ,Piedra alba,Tinea blanca
B36.3    ,Piedra nigra,
B36.8    ,"Iná povrchová mykóza, bližšie určená",
B36.9    ,"Povrchová mykóza, bližšie neurčená",
B37.-    ,Kandidóza,"Patrí sem:  
Kandidová mykóza 
Monilióza 
Nepatrí sem:  
Kandidóza u novorodenca (P37.5)"
B37.0    ,Kandidová stomatitída,Ústny soor
B37.1    ,Pľúcna kandidóza,
B37.2    ,Kandidóza kože a nechtov,"Kandidová:  
• onychomykóza  
• paronychia 
Nepatrí sem:  
Plienková dermatitída (L22)"
B37.3† ,Kandidóza vulvy a pošvy (N77.1*),"Vaginálny soor 
Kandidomycetická vulvovaginitída 
Vulvovaginitída zapríčinená kandidou"
B37.4    ,Kandidóza iných častí močovopohlavnej sústavy,"Kandidová:  
• balanitída†  (N51.2*)  
• uretritída† (N37.0*) "
B37.5† ,Kandidová meningitída (G02.1*),
B37.6† ,Kandidová endokarditída (I39.8*),
B37.7    ,Kandidová sepsa,
B35.6    ,Tinea cruris,"Svrbenie dhobie (práčov) 
Indický lišaj práčky 
Svrbenie džokejov 
Mykóza slabiny"
B35.8    ,Iná dermatofytóza,"Diseminovaná dermatofytóza 
Granulomatózna dermatofytóza"
B37.81   ,Kandidová ezofagitída,
B37.88   ,Kandidóza na iných miestach,"Kandidová:  
• Cheilitída  
• Enteritída "
B37.9    ,"Kandidóza, bližšie neurčená","Soor, bližšie neurčený"
B38.-    ,Kokcidioidomykóza,
B38.0    ,Akútna kokcidioidomykóza pľúc,
B38.1    ,Chronická kokcidioidomykóza pľúc,
B38.2    ,"Kokcidioidomykóza pľúc, bližšie neurčená",
B38.3    ,Kokcidioidomykóza kože,
B38.4† ,Kokcidioidomykotická meningitída (G02.1*),
B38.7    ,Diseminovaná kokcidioidomykóza,Generalizovaná kokcidioidomykóza
B38.8    ,Iná forma kokcidioidomykózy,
B38.9    ,"Kokcidioidomykóza, bližšie neurčená",
B39.-    ,Histoplazmóza,
B39.0    ,Akútna histoplazmóza pľúc zapríčinená Histoplasma capsulatum,
B39.1    ,Chronická histoplazmóza pľúc zapríčinená Histoplasma capsulatum,
B39.2    ,"Histoplazmóza pľúc zapríčinená Histoplasma capsulatum, bližšie neurčená",
B39.3    ,Diseminovaná histoplazmóza zapríčinená Histoplasma capsulatum,Generalizovaná histoplazmóza (Histoplasma capsulatum)
B39.4    ,"Histoplazmóza zapríčinená Histoplasma capsulatum, bližšie neurčená",Americká histoplazmóza
B39.5    ,Histoplazmóza zapríčinená Histoplasma duboisii,Africká histoplazmóza
B39.9    ,"Histoplazmóza, bližšie neurčená",
B40.-    ,Blastomykóza,"Nepatrí sem:  
Juhoamerická blastomykóza (B41.-) 
Keloidová blastomykóza (B48.0)"
B40.0    ,Akútna blastomykóza pľúc,
B40.1    ,Chronická blastomykóza pľúc,
B40.2    ,"Blastomykóza pľúc, bližšie neurčená",
B40.3    ,Blastomykóza kože,
B40.7    ,Diseminovaná blastomykóza,Generalizovaná blastomykóza
B40.8    ,Iná forma blastomykózy,
B40.9    ,"Blastomykóza, bližšie neurčená",
B41.-    ,Parakokcidioidomykóza,"Patrí sem:  
Lutzova choroba 
Juhoamerická blastomykóza"
B41.0    ,Parakokcidioidomykóza pľúc,
B41.7    ,Diseminovaná parakokcidioidomykóza,Generalizovaná parakokcidioidomykóza
B41.8    ,Iná forma parakokcidioidomykózy,
B41.9    ,"Parakokcidioidomykóza, bližšie neurčená",
B42.-    ,Sporotrichóza,
B42.0† ,Sporotrichóza pľúc,
B42.1    ,Lymfokutánna sporotrichóza,
B42.7    ,Diseminovaná sporotrichóza,Generalizovaná sporotrichóza
B42.8    ,Iná forma sporotrichózy,
B42.9    ,"Sporotrichóza, bližšie neurčená",
B43.-    ,Chromomykóza a chromomykotický absces,
B43.0    ,Chromomykóza kože,Verukózna dermatitída
B43.1    ,Chromomykotický absces mozgu,"Chromomykotický (feomykotický) mozgový absces 
Chromomykóza mozgu"
B43.2    ,Chromomykotický absces a cysta podkožia,
B43.8    ,Iná forma chromomykózy,
B43.9    ,"Chromomykóza, bližšie neurčená",
B44.-    ,Aspergilóza,"Patrí sem:  
Aspergilóm"
B44.0    ,Invazívna aspergilóza pľúc,
B44.1    ,Iná aspergilóza pľúc,
B44.2    ,Aspergilóza tonzíl,
B44.7    ,Diseminovaná aspergilóza,Generalizovaná aspergilóza
B44.8    ,Iná forma aspergilózy,
B44.9    ,"Aspergilóza, bližšie neurčená",
B45.-    ,Kryptokokóza,
B45.0    ,Kryptokokóza pľúc,
B45.1    ,Kryptokokóza mozgu,"Kryptokokóza mozgových obalov a mozgu 
Meningitída zapríčinená kryptokokmi† (G02.1*)"
B45.2    ,Kryptokokóza kože,
B45.3    ,Kryptokokóza kostí,
B45.7    ,Diseminovaná kryptokokóza,Generalizovaná kryptokokóza
B45.8    ,Iná forma kryptokokózy,
B45.9    ,"Kryptokokóza, bližšie neurčená",
B46.-    ,Zygomykóza,
B46.0    ,Mukormykóza pľúc,
B46.1    ,Rinocerebrálna mukormykóza,
B46.2    ,Mukormykóza tráviacej trubice,
B46.3    ,Mukormykóza kože,Mukormykóza podkožia
B46.4    ,Diseminovaná mukormykóza,Generalizovaná mukormykóza
B46.5    ,"Mukormykóza, bližšie neurčená",
B46.8    ,Iná zygomykóza,Entomoftoromykóza
B46.9    ,"Zygomykóza, bližšie neurčená","Fykomykóza, bližšie neurčená"
B47.-    ,Mycetóm,
B47.0    ,Eumycetóm,"Madurská noha, mykotická 
Maduramykóza"
B47.1    ,Aktinomycetóm,
B47.9    ,"Mycetóm, bližšie neurčený","Madurská noha, bližšie neurčená"
B48.-    ,"Iná mykóza, nezatriedená inde",
B48.0    ,Lobomykóza,Keloidná blastomykóza
B48.1    ,Rinosporidióza,
B48.2    ,Allescherióza,"Infekcia zapríčinená pseudallescheria boydii 
Infekcia zapríčinená scedosporium 
Nepatrí sem:  
Madurská noha (B47.0)"
B48.3    ,Geotrichóza,Stomatitída zapríčinená geotrichou
B48.4    ,Penicilóza,
B48.7    ,Mykóza zapríčinená oportunistickým patogénom,"Mykózy zapríčinené hubou s nízkou virulenciou, ktoré vyvolávajú infekciu len za určitých podmienok, ako je napr. vysiľujúce choroba, podávanie imunosupresívnych a iných liekov, alebo liečba žiarením. Veľká časť príčinných patogénov žije za normálnych okolností ako saprofyty v pôde alebo v rozkladajúcej sa vegetácii."
B48.8    ,"Iná mykóza, bližšie určená",Adiaspiromykóza
B49      ,"Mykóza, bližšie neurčená","Patrí sem:  
Fungémia, bližšie neurčená"
B50-B64  ,Protozoárne choroby,"Nepatrí sem:  
Amebóza (A06.-) 
Iné črevné choroby zapríčinené protozoami (A07.-)"
B50.-    ,Malária zapríčinená Plasmodium falciparum,"Patria sem:  
Zmiešané infekcie zapríčinené Plasmodium falciparum s inými druhmi plazmódií"
B50.0    ,Malária zapríčinená Plasmodium falciparum s mozgovými komplikáciami,"Mozgová malária, bližšie neurčená"
B50.8    ,Iná ťažká a komplikovaná malária zapríčinená Plasmodium falciparum,"Ťažké formy alebo komplikácie tropickej malárie, bližšie neurčené"
B50.9    ,"Malária zapríčinená Plasmodium falciparum, bližšie neurčená",
B51.-    ,Malária zapríčinená Plasmodium vivax,"Patria sem:  
Zmiešané infekcie zapríčinené Plasmodium vivax s inými druhmi plazmódií okrem Plasmodium falciparum 
Nepatrí sem:  
Ako zmiešaná infekcia s Plasmodium falciparum (B50.-)"
B51.0    ,Malária zapríčinená Plasmodium vivax s ruptúrou sleziny,
B51.8    ,Malária zapríčinená Plasmodium vivax s inými komplikáciami,
B51.9    ,Malária zapríčinená Plasmodium vivax bez komplikácií,"Malária zapríčinená Plasmodium vivax, bližšie neurčená"
B52.-    ,Malária zapríčinená Plasmodium malariae,"Patria sem:  
Zmiešané infekcie plasmodium malariae s inými druhmi plazmódií okrem Plasmodium falciparum a Plasmodium vivax 
Nepatrí sem:  
Malária zapríčinená Plasmodium malariae ako zmiešaná infekcia s:  
• Plasmodium falciparum (B50.-) 
• Plasmodium vivax (B51.-)"
B52.0    ,Malária zapríčinená Plasmodium malariae s nefropatiou,
B52.8    ,Malária zapríčinená Plasmodium malariae s inými komplikáciami,
B52.9    ,Malária zapríčinená Plasmodium malariae bez komplikácií,"Malária zapríčinená Plasmodium malariae, bližšie neurčená"
B53.-    ,Iná parazitologicky potvrdená malária,
B53.0    ,Malária zapríčinená Plasmodium ovale,"Nepatrí sem:  
Malária zapríčinená plasmodium ovale ako zmiešaná infekcia s:  
• Plasmodium falciparum (B50.-) 
• Plasmodium malariae (B52.-) 
• Plasmodium vivax (B51.-)"
B53.1    ,Malária zapríčinená opičími plazmódiami,"Nepatrí sem:  
Malária zapríčinená opičími plazmódiami ako zmiešaná infekcia s:  
• Plasmodium falciparum (B50.-) 
• Plasmodium malariae (B52.-) 
• Plasmodium ovale (B53.0) 
• Plasmodium vivax (B51.-)"
B53.8    ,"Iná parazitologicky potvrdená malária, nezatriedená inde","Parazitologicky potvrdená malária, bližšie neurčená"
B54      ,"Malária, bližšie neurčená","Patrí sem:  
Klinicky diagnostikovaná malária bez parazitologického potvrdenia"
B55.-    ,Leišmanióza,
B55.0    ,Viscerálna leišmanióza,"Postihnutie kože pri Kala-Azar 
Kala-Azar"
B55.1    ,Kožná leišmanióza,Orientálna hrča
B55.2    ,Leišmanióza kože a slizníc (mukokutánna),
B55.9    ,"Leišmanióza, bližšie neurčená",
B56.-    ,Africká trypanozomóza,"Patrí sem:  
Spavá choroba"
B56.0    ,Gambijská trypanozomóza,"Infekcia zapríčinená Trypanosoma brucei gambiense 
Západoafrická spavá choroba"
B56.1    ,Rodézska trypanozomóza,"Infekcia zapríčinená Trypanosoma brucei rhodesiense 
Východoafrická spavá choroba"
B56.9    ,"Africká trypanozomóza, bližšie neurčená","Spavá choroba, bližšie neurčená 
Trypanozomóza, bližšie neurčená, v lokalitách, kde sa trypanozomóza často vyskytuje"
B57.-    ,Chagasova choroba,"Patrí sem:  
Americká trypanozomóza 
Infekcia zapríčinená Trypanosoma cruzi"
B57.0† ,"Akútna Chagasova choroba s postihnutím srdca (I41.2*, I98.1*)","Akútna Chagasova choroba:  
• so srdcovocievnym postihnutím, nezatriedeným inde (I98.1*) 
• s myokarditídou (I41.2*)"
B57.1    ,Akútna Chagasova choroba bez postihnutia srdca,"Akútna Chagasova choroba, bližšie neurčená"
B57.2    ,Chagasova choroba (chronická) s postihnutím srdca,"Americká trypanozomóza, bližšie neurčená 
Chagasova choroba (chronická):  
• so srdcovocievnym postihnutím, nezatriedeným inde† (I98.1*) 
• s myokarditídou † (I41.2*) 
• bližšie neurčená 
Trypanozomóza, bližšie neurčená, v lokalitách, kde sa Chagasova choroba často vyskytuje"
B57.3    ,Chagasova choroba (chronická) s postihnutím tráviacej sústavy,
B57.4    ,Chagasova choroba (chronická) s postihnutím nervovej sústavy,
B57.5    ,Chagasova choroba (chronická) s postihnutím iných orgánov,
B58.-    ,Toxoplazmóza,"Patrí sem:  
Infekcia zapríčinená Toxoplazma gondii 
Nepatrí sem:  
Vrodená toxoplazmóza (P37.1)"
B58.0† ,Toxoplazmová okulopatia,Chorioretinitída zapríčinená toxoplazmou (H32.*)
B58.1† ,Toxoplazmová hepatitída (K77.0*),
B58.2† ,Toxoplazmová meningoencefalitída (G05.2*),
B58.3† ,Toxoplazmóza pľúc (J17.3*),
B58.8    ,Toxoplazmóza s postihnutím iných orgánov,"Myokarditída zapríčinená toxoplazmou† (I41.2*) 
Myozitída zapríčinená toxoplazmou†  (M63.1-*)"
B58.9    ,"Toxoplazmóza, bližšie neurčená",
B59†   ,Pneumocystóza (J17.3*),"Patrí sem:  
Plazmocelulárna intersticiálna pneumónia 
Pneumónia zapríčinená:  
• Pneumocystis carinii  
• Pneumocystis jirovecii"
B60.-    ,"Iná protozoárna choroba, nezatriedená inde","Nepatrí sem:  
Intestinálna mikrosporidióza (A07.8) 
Izosporóza (A07.3) 
Kryptosporidióza (A07.2)"
B60.0    ,Babezióza,Piroplazmóza
B60.1    ,Akantamebóza,"Keratokonjunktivitída zapríčinená akantamébou† (H19.2*) 
Konjunktivitída zapríčinená akantamébou† (H13.1*)"
B60.2    ,Naeglerióza,Primárna amébová meningoencefalitída† (G05.2*)
B60.8    ,"Iná protozoárna choroba, bližšie určená",Mikrosporidióza
B64      ,"Protozoárna choroba, bližšie neurčená",
B65-B83  ,Helmintózy,
B65.-    ,Schistozomóza [Bilharzióza],"Patrí sem:  
Slimačia horúčka (snail fever)"
B65.0    ,Schistozomóza zapríčinená Schistosoma haematobium,Urogenitálna schistozomóza
B65.1    ,Schistozomóza zapríčinená Schistosoma mansoni,Črevná schistozomóza
B65.2    ,Schistozomóza zapríčinená Schistosoma japonicum,Ázijská schistozomóza
B65.3    ,Cerkáriová dermatitída,Schistozómová dermatitída (svrbenie plavcov)
B65.8    ,Iné schistozomózy,"Infekcia zapríčinená:  
• Schistosoma intercalatum 
• Schistosoma mattheei 
• Schistosoma mekongi"
B65.9    ,"Schistozomóza, bližšie neurčená",
B66.-    ,Iná trematodóza,
B66.0    ,Opistorchóza,"Infekcia zapríčinená:  
• mačacou pečeňovou motolicou 
• Opistorchis (felineus) (viverrini)"
